Time,Temperature,Pressure,Sea.pressure,Depth
2018-09-08 12:35:24.000,18.75865198,10.04085476,-0.091646237,-0.091083116
2018-09-08 12:35:24.500,18.75608133,10.03722127,-0.095279729,-0.094694283
2018-09-08 12:35:25.000,18.7529115,10.03821371,-0.094287294,-0.093707946
2018-09-08 12:35:25.500,18.75300086,10.03747017,-0.095030829,-0.094446912
2018-09-08 12:35:26.000,18.75555039,10.0387097,-0.093791298,-0.093214997
2018-09-08 12:35:26.500,18.7589674,10.03813288,-0.094368118,-0.093788273
2018-09-08 12:35:27.000,18.75726939,10.04160356,-0.090897444,-0.090338925
2018-09-08 12:35:27.500,18.75277483,10.04433096,-0.088170036,-0.087628275
2018-09-08 12:35:28.000,18.75046719,10.04110997,-0.091391033,-0.090829481
2018-09-08 12:35:28.500,18.74764451,10.04301104,-0.089489963,-0.088940091
2018-09-08 12:35:29.000,18.74561035,10.04185516,-0.090645836,-0.090088862
2018-09-08 12:35:29.500,18.73998121,10.03945979,-0.093041208,-0.092469516
2018-09-08 12:35:30.000,18.73814696,10.03698211,-0.095518893,-0.094931976
2018-09-08 12:35:30.500,18.74300334,10.0382231,-0.094277905,-0.093698614
2018-09-08 12:35:31.000,18.76023962,10.03822382,-0.094277176,-0.09369789
2018-09-08 12:35:31.500,18.76496595,10.0381429,-0.094358095,-0.093778312
2018-09-08 12:35:32.000,18.76464524,10.03905119,-0.093449809,-0.092875606
2018-09-08 12:35:32.500,18.76317843,10.03748273,-0.095018273,-0.094434433
2018-09-08 12:35:33.000,18.75959825,10.03822929,-0.094271713,-0.09369246
2018-09-08 12:35:33.500,18.7498627,10.03814422,-0.094356781,-0.093777005
2018-09-08 12:35:34.000,18.74275631,10.03781535,-0.09468565,-0.094103854
2018-09-08 12:35:34.500,18.73786316,10.03897311,-0.093527893,-0.09295321
2018-09-08 12:35:35.000,18.73263398,10.03831295,-0.094188055,-0.093609316
2018-09-08 12:35:35.500,18.73036898,10.03980051,-0.092700493,-0.092130895
2018-09-08 12:35:36.000,18.72847659,10.04046671,-0.092034295,-0.09146879
2018-09-08 12:35:36.500,18.72109949,10.03682635,-0.09567465,-0.095086777
2018-09-08 12:35:37.000,18.71972282,10.03922518,-0.093275825,-0.092702691
2018-09-08 12:35:37.500,18.71844076,10.03955625,-0.092944754,-0.092373654
2018-09-08 12:35:38.000,18.71761583,10.03922704,-0.093273956,-0.092700834
2018-09-08 12:35:38.500,18.71692753,10.04162402,-0.090876982,-0.090318588
2018-09-08 12:35:39.000,18.71549839,10.0400544,-0.092446603,-0.091878565
2018-09-08 12:35:39.500,18.71455266,10.03799001,-0.094510986,-0.093930263
2018-09-08 12:35:40.000,18.7131656,10.04038629,-0.092114709,-0.09154871
2018-09-08 12:35:40.500,18.71159468,10.03972751,-0.092773493,-0.092203446
2018-09-08 12:35:41.000,18.71010259,10.04121526,-0.091285741,-0.090724835
2018-09-08 12:35:41.500,18.7084792,10.03898478,-0.093516221,-0.09294161
2018-09-08 12:35:42.000,18.70646182,10.03989414,-0.092606857,-0.092037834
2018-09-08 12:35:42.500,18.70462837,10.03774691,-0.09475409,-0.094171873
2018-09-08 12:35:43.000,18.70283173,10.03981386,-0.092687142,-0.092117625
2018-09-08 12:35:43.500,18.70076722,10.0392353,-0.093265704,-0.092692633
2018-09-08 12:35:44.000,18.69874479,10.03931929,-0.093181713,-0.092609158
2018-09-08 12:35:44.500,18.696423,10.03989905,-0.092601947,-0.092032954
2018-09-08 12:35:45.000,18.69425361,10.03956931,-0.092931687,-0.092360668
2018-09-08 12:35:45.500,18.69200549,10.03923941,-0.093261586,-0.09268854
2018-09-08 12:35:46.000,18.68985724,10.03800082,-0.094500184,-0.093919528
2018-09-08 12:35:46.500,18.68748844,10.03948868,-0.093012321,-0.092440806
2018-09-08 12:35:47.000,18.68519325,10.03948947,-0.093011529,-0.092440019
2018-09-08 12:35:47.500,18.68266179,10.03957313,-0.09292787,-0.092356874
2018-09-08 12:35:48.000,18.68059781,10.03916146,-0.093339543,-0.092766018
2018-09-08 12:35:48.500,18.67815053,10.03940919,-0.093091814,-0.092519811
2018-09-08 12:35:49.000,18.67579259,10.03990626,-0.09259474,-0.092025791
2018-09-08 12:35:49.500,18.67332445,10.04106424,-0.091436759,-0.090874925
2018-09-08 12:35:50.000,18.67120821,10.04015592,-0.092345078,-0.091777663
2018-09-08 12:35:50.500,18.6686352,10.03974369,-0.092757305,-0.092187358
2018-09-08 12:35:51.000,18.66624079,10.03701831,-0.095482691,-0.094895997
2018-09-08 12:35:51.500,18.66364169,10.04156174,-0.090939257,-0.09038048
2018-09-08 12:35:52.000,18.6613682,10.04007733,-0.092423668,-0.09185577
2018-09-08 12:35:52.500,18.65919453,10.03949875,-0.093002247,-0.092430794
2018-09-08 12:35:53.000,18.65670066,10.03892147,-0.093579526,-0.093004527
2018-09-08 12:35:53.500,18.65423837,10.03809696,-0.094404044,-0.093823978
2018-09-08 12:35:54.000,18.65193891,10.03958473,-0.092916275,-0.09234535
2018-09-08 12:35:54.500,18.64928778,10.0388417,-0.093659304,-0.093083814
2018-09-08 12:35:55.000,18.64685197,10.04008201,-0.092418994,-0.091851126
2018-09-08 12:35:55.500,18.64449498,10.04041217,-0.092088826,-0.091522986
2018-09-08 12:35:56.000,18.64194909,10.04016652,-0.09233448,-0.091767131
